feature_set,strategy,scenario,repetition,outer_seed,fold,category,training_count,test_count,q1,q2,minimum_required,adequate,kmeans_seed
strict6,Training-fold AFP quantiles,Quantile,1,10,1,Small,152,22,134,320,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,1,Medium,147,11,134,320,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,1,Large,150,17,134,320,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,1,Small,152,22,134,320,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,1,Medium,147,11,134,320,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,1,Large,150,17,134,320,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,1,Small,418,,,,30,False,1597212421
strict6,AFP K-Means,Adequacy diagnostic only,1,10,1,Large,1,,,,30,False,1597212421
strict6,AFP K-Means,Adequacy diagnostic only,1,10,1,Medium,30,,,,30,False,1597212421
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,1,Large,2,,,,30,False,418583814
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,1,Small,402,,,,30,False,418583814
strict6,Multivariate K-Means,Adequacy diagnostic only,1,10,1,Medium,45,,,,30,False,418583814
strict6,Training-fold AFP quantiles,Quantile,1,10,2,Small,150,19,132.333333333333,323.666666666667,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,2,Medium,149,17,132.333333333333,323.666666666667,30,True,
strict6,Training-fold AFP quantiles,Quantile,1,10,2,Large,150,14,132.333333333333,323.666666666667,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,2,Small,150,19,132.333333333333,323.666666666667,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,2,Medium,149,17,132.333333333333,323.666666666667,30,True,
strict6,Training-fold AFP quantiles,Quantile + MI,1,10,2,Large,150,14,132.333333333333,323.666666666667,30,True,
strict6,AFP K-Means,Adequacy diagnostic only,1,10,2,Small,394,,,,30,False,3885229075
